2026-02-03 09:33:09,555 | INFO | User:264 | Endpoint: recruiter_hiring_onboarding | Method: GET | Status: 302 | Duration: 40.8493s
2026-02-03 09:33:14,631 | INFO | User:264 | Endpoint: recruiter_dashboard | Method: GET | Status: 200 | Duration: 8.8458s
2026-02-03 09:34:00,395 | INFO | User:264 | Endpoint: recruiter_workbench | Method: GET | Status: 200 | Duration: 5.9531s
2026-02-03 09:34:11,316 | INFO | User:264 | Endpoint: recruiter_test_schedule | Method: GET | Status: 200 | Duration: 1.6710s
2026-02-03 09:39:01,778 | INFO | User:264 | Endpoint: recruiter_dashboard | Method: GET | Status: 200 | Duration: 9.7082s
2026-02-03 10:00:35,044 | INFO | User:264 | Endpoint: candidate_profile | Method: GET | Status: 200 | Duration: 2.0600s
2026-02-05 12:16:48,956 | INFO | User:Guest | Endpoint: index | Method: GET | Status: 302 | Duration: 0.0465s
2026-02-05 12:16:49,625 | INFO | User:Guest | Endpoint: login | Method: GET | Status: 200 | Duration: 0.5087s
2026-02-05 12:16:51,272 | INFO | User:Guest | Endpoint: None | Method: GET | Status: 404 | Duration: 0.0046s
2026-02-05 12:17:43,051 | INFO | User:Guest | Endpoint: login | Method: GET | Status: 200 | Duration: 0.0160s
2026-02-05 12:17:45,116 | INFO | User:Guest | Endpoint: None | Method: GET | Status: 404 | Duration: 0.0030s
2026-02-05 12:18:52,291 | INFO | User:265 | Endpoint: login | Method: POST | Status: 302 | Duration: 0.8947s
2026-02-05 12:18:52,708 | INFO | User:265 | Endpoint: dashboard | Method: GET | Status: 302 | Duration: 0.2145s
2026-02-05 12:18:54,032 | INFO | User:265 | Endpoint: recruiter_dashboard | Method: GET | Status: 200 | Duration: 1.1647s
2026-02-05 12:18:57,580 | INFO | User:265 | Endpoint: recruiter_workbench | Method: GET | Status: 200 | Duration: 0.4918s
2026-02-05 12:22:22,469 | INFO | User:265 | Endpoint: add_candidate_manual | Method: POST | Status: 302 | Duration: 1.5420s
2026-02-05 12:22:23,001 | INFO | User:265 | Endpoint: recruiter_workbench | Method: GET | Status: 200 | Duration: 0.4491s
2026-02-05 12:26:43,489 | INFO | User:265 | Endpoint: recruiter_test_schedule | Method: GET | Status: 200 | Duration: 1.2666s
2026-02-05 12:26:54,895 | INFO | User:265 | Endpoint: recruiter_workbench | Method: GET | Status: 200 | Duration: 0.7170s
2026-02-05 12:27:07,948 | INFO | User:265 | Endpoint: recruiter_evaluate_candidate | Method: POST | Status: 302 | Duration: 0.4152s
2026-02-05 12:27:08,445 | INFO | User:265 | Endpoint: recruiter_workbench | Method: GET | Status: 200 | Duration: 0.4225s
2026-02-05 12:27:12,694 | INFO | User:265 | Endpoint: recruiter_scheduling | Method: GET | Status: 200 | Duration: 0.9475s
2026-02-05 12:27:24,677 | INFO | User:265 | Endpoint: recruiter_book_test | Method: POST | Status: 302 | Duration: 0.6263s
2026-02-05 12:27:25,714 | INFO | User:265 | Endpoint: recruiter_scheduling | Method: GET | Status: 200 | Duration: 0.9394s
2026-02-05 12:27:28,290 | INFO | User:265 | Endpoint: recruiter_workbench | Method: GET | Status: 200 | Duration: 0.4706s
2026-02-05 12:27:29,837 | INFO | User:265 | Endpoint: recruiter_test_schedule | Method: GET | Status: 200 | Duration: 0.2720s
2026-02-05 12:30:15,276 | INFO | User:265 | Endpoint: talent_dashboard | Method: GET | Status: 302 | Duration: 1.0885s
2026-02-05 12:30:15,624 | INFO | User:265 | Endpoint: dashboard | Method: GET | Status: 302 | Duration: 0.2041s
2026-02-05 12:30:16,741 | INFO | User:265 | Endpoint: recruiter_dashboard | Method: GET | Status: 200 | Duration: 0.9750s
2026-02-05 12:30:32,408 | INFO | User:265 | Endpoint: login | Method: GET | Status: 200 | Duration: 0.2120s
2026-02-05 12:31:21,087 | INFO | User:265 | Endpoint: login | Method: POST | Status: 200 | Duration: 0.3679s
2026-02-05 12:31:41,835 | INFO | User:265 | Endpoint: login | Method: POST | Status: 200 | Duration: 0.3375s
2026-02-05 12:32:13,447 | INFO | User:36 | Endpoint: login | Method: POST | Status: 302 | Duration: 0.3488s
2026-02-05 12:32:13,798 | INFO | User:36 | Endpoint: dashboard | Method: GET | Status: 302 | Duration: 0.2018s
2026-02-05 12:32:16,557 | INFO | User:36 | Endpoint: talent_conduct_test | Method: GET | Status: 200 | Duration: 2.3158s
2026-02-22 00:09:09,501 | INFO | User:Guest | Endpoint: index | Method: GET | Status: 302 | Duration: 0.0000s
2026-02-22 00:09:10,196 | INFO | User:Guest | Endpoint: login | Method: GET | Status: 200 | Duration: 0.0445s
2026-02-22 00:09:24,802 | INFO | User:5 | Endpoint: login | Method: POST | Status: 302 | Duration: 0.8308s
2026-02-22 00:12:16,452 | INFO | User:5 | Endpoint: index | Method: GET | Status: 302 | Duration: 1.3170s
2026-02-22 00:13:20,508 | INFO | User:5 | Endpoint: index | Method: GET | Status: 302 | Duration: 0.9058s
2026-02-22 00:16:14,113 | INFO | User:5 | Endpoint: index | Method: GET | Status: 302 | Duration: 0.6502s
2026-02-22 00:19:49,608 | INFO | User:Guest | Endpoint: index | Method: GET | Status: 302 | Duration: 0.0000s
2026-02-22 00:19:51,005 | INFO | User:Guest | Endpoint: index | Method: GET | Status: 302 | Duration: 0.0000s
2026-02-22 00:19:51,037 | INFO | User:Guest | Endpoint: login | Method: GET | Status: 200 | Duration: 0.0747s
2026-02-22 00:19:51,145 | INFO | User:Guest | Endpoint: login | Method: GET | Status: 200 | Duration: 0.0016s
2026-02-22 00:19:53,401 | INFO | User:Guest | Endpoint: None | Method: GET | Status: 404 | Duration: 0.0020s
2026-02-22 00:19:53,406 | INFO | User:Guest | Endpoint: None | Method: GET | Status: 404 | Duration: 0.0010s
2026-02-22 00:20:09,158 | INFO | User:264 | Endpoint: login | Method: POST | Status: 302 | Duration: 0.6155s
2026-02-22 00:20:09,597 | INFO | User:264 | Endpoint: dashboard | Method: GET | Status: 302 | Duration: 0.2318s
2026-02-22 00:20:11,514 | INFO | User:264 | Endpoint: recruiter_dashboard | Method: GET | Status: 200 | Duration: 1.7583s
2026-02-22 00:20:36,217 | INFO | User:264 | Endpoint: recruiter_scheduling | Method: GET | Status: 200 | Duration: 0.5953s
2026-02-22 00:25:23,969 | INFO | User:264 | Endpoint: recruiter_interviews_notify | Method: GET | Status: 200 | Duration: 1.4134s
